title,ethnicity,activity,location,text,tags,caption,object
photo168,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_3858.jpg"" height=""500px"">"
photo169,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4056.jpg"" height=""500px"">"
photo170,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4057.jpg"" height=""500px"">"
photo171,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4058.JPG"" height=""500px"">"
photo172,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4059.JPG"" height=""500px"">"
photo173,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4062.JPG"" height=""500px"">"
photo174,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4065.JPG"" height=""500px"">"
photo175,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4073.JPG"" height=""500px"">"
photo176,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4085.jpg"" height=""500px"">"
photo177,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4091.jpg"" height=""500px"">"
photo178,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4092.jpg"" height=""500px"">"
photo179,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4281.JPG"" height=""500px"">"
photo180,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4295.jpg"" height=""500px"">"
photo181,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4306.JPG"" height=""500px"">"
photo182,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4307.JPG"" height=""500px"">"
photo183,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4308.JPG"" height=""500px"">"
photo184,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4310.jpg"" height=""500px"">"
photo185,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4312.jpg"" height=""500px"">"
photo186,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4336.jpg"" height=""500px"">"
photo187,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4340.JPG"" height=""500px"">"
photo188,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4351.JPG"" height=""500px"">"
photo189,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4354.JPG"" height=""500px"">"
photo190,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4356.JPG"" height=""500px"">"
photo191,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4385-2.JPG"" height=""500px"">"
photo192,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4399.JPG"" height=""500px"">"
photo193,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4423.JPG"" height=""500px"">"
photo194,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4426.JPG"" height=""500px"">"
photo195,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4481.jpg"" height=""500px"">"
photo196,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4484.jpg"" height=""500px"">"
photo197,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4485.JPG"" height=""500px"">"
photo198,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4497.jpg"" height=""500px"">"
photo199,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4502.JPG"" height=""500px"">"
photo200,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4510.jpg"" height=""500px"">"
photo201,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_4521.jpg"" height=""500px"">"
photo202,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6260.jpg"" height=""500px"">"
photo203,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6262.jpg"" height=""500px"">"
photo204,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6269.jpg"" height=""500px"">"
photo205,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6279.jpg"" height=""500px"">"
photo206,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6301.jpg"" height=""500px"">"
photo207,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6326.jpg"" height=""500px"">"
photo208,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6367.jpg"" height=""500px"">"
photo209,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6368.jpg"" height=""500px"">"
photo210,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6383.jpg"" height=""500px"">"
photo211,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6388.jpg"" height=""500px"">"
photo212,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6393.jpg"" height=""500px"">"
photo213,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6402.jpg"" height=""500px"">"
photo214,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6407.jpg"" height=""500px"">"
photo215,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6412.jpg"" height=""500px"">"
photo216,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6425.jpg"" height=""500px"">"
photo217,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6431.jpg"" height=""500px"">"
photo218,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6439.jpg"" height=""500px"">"
photo219,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6457.jpg"" height=""500px"">"
photo220,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6468.jpg"" height=""500px"">"
photo221,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6487.jpg"" height=""500px"">"
photo222,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6493.jpg"" height=""500px"">"
photo223,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6515.jpg"" height=""500px"">"
photo224,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6530.jpg"" height=""500px"">"
photo225,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6551.jpg"" height=""500px"">"
photo226,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6563.jpg"" height=""500px"">"
photo227,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6571.jpg"" height=""500px"">"
photo228,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6577.jpg"" height=""500px"">"
photo229,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6590.jpg"" height=""500px"">"
photo230,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6613.jpg"" height=""500px"">"
photo231,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6631.jpg"" height=""500px"">"
photo232,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6688.jpg"" height=""500px"">"
photo233,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6767.jpg"" height=""500px"">"
photo234,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/IMG_6827.jpg"" height=""500px"">"
